Product_Name,Main_Category,Sub_Category,Discounted_Price,Actual_Price,Discount_Percentage,Savings_Amount,Rating,Rating_Count,Price_Range,Rating_Category,Discount_Category,Review_Volume,User_Name,Review_Title
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",Electronics,Smartphones,34999.0,38999.0,10,4000.0,4.2,11029.0,Above ₹5000,Very Good (4.0-4.5),Low (0-25%),Very High (10K+),"Dinesh Kumar,Saurabh,BIDESH PATRA,Prateek H,SHREYANSH KAPADIA,Vinayak joshi,Zarafatima","Best option in 35k category.,Terrific purchase,A highly priced smart phone.,Can't get better at this cost. Review after one month of use.,Oxygen OS is providing poor experience, overall device is okay.,Ammazing Product,Okay"
"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics,Smartphones,16999.0,24999.0,32,8000.0,4.1,22318.0,Above ₹5000,Very Good (4.0-4.5),Medium (25-50%),Very High (10K+),"Atulya Sinha,SujayZ™️☑️","THE PERFECT PHONE – FOR MY REQUIREMENTS,Galaxy M33 5G a mixed bag of Affordability"
"Ambrane Mobile Holding Stand, 180° Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid Design (Twistand, Black)",Electronics,Stands,199.0,499.0,60,300.0,4.1,1786.0,Under ₹500,Very Good (4.0-4.5),High (50-75%),High (1K-10K),"Rohan Kumar Gupta,Harshal Jadhav,Banishree b.,Amrut K.,Surajit,Rahul,Vishal,Jai kumar","Highly recommended,Very flexible,Good,Very good product,Good,It's worth every penny,Good,Mobile stand"
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",Electronics,PowerBanks,999.0,1599.0,38,600.0,4.0,7222.0,₹500-1000,Good (3.5-4.0),Medium (25-50%),High (1K-10K),"RAMKISAN,Pawan Kumar yadav,Nikhil,Drew Arsenic,nisar,kanishk,Amazon Customer,Kulveer Singh","Nice product,Good,Kaam sahi karta hai ji,Woks fine,Nice,good and portabe,Good for a single charge of 5000mah mobile.,Good product"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",Electronics,BasicMobiles,1299.0,1599.0,19,300.0,4.0,128311.0,₹1000-2500,Good (3.5-4.0),Low (0-25%),Very High (10K+),"virender malhotra,Vikas kabra,Das,Naveen,Amazon Customer,Adv. Manish kotwani,Vinod Jadhao,Priti tijare","Centre key,Nice phone,Good for Exam preparing students,Center button is not good,Battery runs out quickly,Nokia trusted brand only needs to improve ringtone sound,best phone,.."
"PTron Tangent Lite Bluetooth 5.0 Earphones with Mic, Hi-Fi Stereo Sound Neckband, 8Hrs Playtime, Lightweight Snug-fit in-Ear Headphones, IPX4 Water Resistant, Fast Charge & Voice Assistant (Black)",Electronics,In-Ear,599.0,1800.0,67,1201.0,3.5,83996.0,₹500-1000,Fair (3.0-3.5),High (50-75%),Very High (10K+),"Chyanika,Suprit Sagar,Jindal,Kiran Kumar,K. prasanthkumar,Joney aheibam,Anand,Baby","Worth every penny,Price,Amazing product,Nice,Just ok,Value for money, sound quality is good 👍, super fast delivery,But warrant needed,Good quality"
"Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA), Blue",Electronics,MicroSD,599.0,1899.0,68,1300.0,4.3,140036.0,₹500-1000,Very Good (4.0-4.5),High (50-75%),Very High (10K+),"Soumendra Pattanayak,Kumar.katukuri,RAJULAPATI MARUTHI VARA PRASAD RAO,Souvik,Mahendran G,It's Me Swaraj ...,Vijay prajapati,Dewang","Good deal,Looking is fake product... Storage capacity 58gb.. Menstion64gb.,A nice gadget.,Nice and good,Trusted brand,with adapter!,I liked it's performance and quality.,Good quality,Worth it"
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)",Electronics,PowerBanks,1799.0,2499.0,28,700.0,4.1,18678.0,₹1000-2500,Very Good (4.0-4.5),Medium (25-50%),Very High (10K+),"Vikrant,Ganesh Gholap,⚡ Pushpendra Singh Patel ⚡,Gaurav,sumegh,Jigar,Dhruba Jyoti Das,Anjeela","Decent Product at about right price.,Seems good.,Good Quality & Durable Powerbank in 1k range | Review,This is the second power bank from Ambrane India, i am happy,It’s heavy but good,Good product,Good power bank,The power is bulkier"
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,USBCables,176.63,499.0,65,322.37,4.1,15189.0,Under ₹500,Very Good (4.0-4.5),High (50-75%),Very High (10K+),"Vivek kumar,Amazon Customer,SARTHAK,Chiranjeevi,V V GIRI KUMAR,Rajnandini,Akshay Talla,sudhanshu chaubey","Long durable.,good,Does not charge Lenovo m8 tab,Best charging cable,good,Boat,Product was good,1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।"
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",Electronics,Smartphones,10999.0,14999.0,27,4000.0,4.1,18998.0,Above ₹5000,Very Good (4.0-4.5),Medium (25-50%),Very High (10K+),"Satheesh Kadiam,Pritom Chakraborty,Vishwa,Simranpreet Singh,Saptarshi,Amazon Customer,D.RAGHUL,Dharmendra kumar","Phone, camera, heating - works for me, may not for all,Good Mobile,Good but not excellent under this budget,Worth the price at 9499,Ok type phone... but unable to make videocall within same service provider.,Phone review,Budget king,Battery backup is good"
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",Electronics,SmartWatches,2999.0,7990.0,62,4991.0,4.1,48449.0,₹2500-5000,Very Good (4.0-4.5),High (50-75%),Very High (10K+),"archit,Arjun Sen,Divya Devkar,User,Vaishnavi Sonker,Santhosh,Sai raj,Mohammed.afsar","NOt worth the money,Good budget smart watch with Alexa,👍,Good product,I don't have flashlight function and speaker is not working,Nice,It's little cost,Wach not working"
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Deep Blue)",Electronics,SmartWatches,1999.0,7990.0,75,5991.0,3.8,17831.0,₹1000-2500,Good (3.5-4.0),High (50-75%),Very High (10K+),"AV,Mathan kumar,Amol Manjrekar,Suraj_nirmalkar,ASIF ANSARI,Jugalkishor yadav,Chinmayee Ninawe,Samba Shiva","Not Polished Enough. (Improving with updates),Best for the budget 👍,Value of money,nice product,Good product,Super value for money,Awesome product,Product itv"
MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,USBCables,229.0,299.0,23,70.0,4.3,30411.0,Under ₹500,Very Good (4.0-4.5),Low (0-25%),Very High (10K+),"Pavan A H,Jayesh bagad,Shridhar,rajendran,karuppu k,Akshay wani,Abbimaniu Singh,VISHAL H BADSHE","Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging."
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,USBCables,199.0,299.0,33,100.0,4.0,43994.0,Under ₹500,Good (3.5-4.0),Medium (25-50%),Very High (10K+),"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam","A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit"
